light,ax,ay,az,gx,gy,gz,label
109,0.2979,-0.0499,0.9768,-7.6904,13.3057,34.6069,shaky
108,0.3339,-0.0839,0.8799,20.0806,-23.1934,17.8223,shaky
117,0.2903,-0.08,0.9456,16.7236,5.8594,-60.3638,shaky
108,0.2526,-0.0894,0.9813,-6.2866,24.5361,27.9541,shaky
108,0.4894,-0.0465,0.8126,0.7324,-28.1982,15.8691,shaky
107,0.1943,-0.0353,1.001,10.1318,-52.2461,60.6689,shaky
106,0.2275,0.002,0.993,-0.6104,1.5259,1.4038,shaky
113,0.3337,-0.0688,0.9333,-2.7466,23.3154,-11.2915,shaky
110,0.4069,-0.0851,0.9197,0.8545,-9.5825,-2.9297,shaky
106,0.2788,-0.0079,0.9877,-0.3662,-3.6011,0.9155,shaky
109,0.2979,-0.0876,1.0249,5.4932,-1.77,4.6997,shaky
108,0.3119,-0.0588,0.9584,1.4648,0,-2.1973,shaky
109,0.397,-0.0721,0.9301,-24.1699,22.3999,6.4087,shaky
104,0.0494,0.0129,1.1046,-7.8735,-13.1836,-22.8271,shaky
110,0.3737,-0.0496,0.8984,-1.0986,4.0283,-5.5542,shaky
112,0.2853,-0.0378,0.9982,7.8125,52.3071,-5.9204,shaky
107,0.0813,-0.0699,1.1501,24.9023,-18.4937,20.752,shaky
110,0.2142,-0.0443,1.057,-27.9541,-10.437,44.4336,shaky
114,0.249,0.095,1.0995,21.1792,37.3535,77.1484,shaky
110,0.3705,0.001,0.9445,-18.9209,-44.9219,-38.7573,shaky
97,0.3055,0.0206,0.9127,-38.0859,-51.3916,-44.0063,shaky
98,0.2698,-0.0516,0.9519,8.9722,-6.897,37.6587,shaky
105,0.4012,0.0099,0.8818,19.2871,35.9497,20.4468,shaky
104,0.2834,-0.1259,0.9838,-7.5073,-39.4287,-14.8315,shaky
106,0.3778,0.0145,0.8375,-0.7324,3.1128,18.4937,shaky
108,0.1383,-0.1077,1.0995,-16.3574,13.6108,-51.8188,shaky
104,0.3818,0.0022,0.8871,-2.0142,11.2305,-3.8452,shaky
108,0.3566,-0.0367,0.9232,15.1367,-52.0019,34.9731,shaky
109,0.2595,-0.0629,0.9641,2.5635,7.3853,4.2114,shaky
108,0.2563,-0.0575,0.9781,-3.6011,11.9629,-9.8267,shaky
105,0.1624,0.0232,1.0853,-17.9443,72.4487,-42.6636,shaky
104,0.3337,-0.0228,0.9497,0.9155,-56.7627,8.5449,shaky
104,0.3223,-0.0295,0.9458,-1.6479,1.77,0.6104,shaky
104,0.3276,-0.0366,0.9475,1.709,-3.9673,4.2114,shaky
104,0.3102,-0.0211,0.9594,-0.4883,-1.1597,-0.9766,shaky
105,0.3029,-0.0049,0.958,0.2441,-1.0376,-1.4038,shaky
105,0.3013,-0.0149,0.9594,-1.2207,1.709,1.5259,shaky
