light,ax,ay,az,gx,gy,gz,label
2048,0.1199,-0.0062,1.0084,-1.0986,-2.6245,-8.606,brightshaky
2052,0.0974,-0.0067,1.0062,-0.061,-3.3569,2.0142,brightshaky
2067,0.0902,-0.005,1.0071,0.7935,0.4883,9.0942,brightshaky
2048,0.1019,-0.0197,1.0095,-2.0752,-0.6714,-14.0381,brightshaky
2058,0.1006,-0.0079,0.9954,0.1221,-3.6011,1.2207,brightshaky
2047,0.097,-0.0017,0.9988,-0.7935,10.437,-3.0518,brightshaky
2047,0.0999,-0.0144,0.9983,-1.1597,-0.8545,-6.4087,brightshaky
2083,0.0583,0.0007,1.007,0.6714,3.0518,9.5215,brightshaky
2063,0.0996,-0.0085,0.999,0.1221,-2.1362,0.7935,brightshaky
2062,0.0956,-0.0071,1.0127,-0.7324,2.8687,-0.8545,brightshaky
2056,0.1051,-0.0166,0.9982,-0.3052,-2.5024,-2.9907,brightshaky
2044,0.0983,-0.0076,1.004,-0.1831,0.5493,0.6714,brightshaky
2082,0.0934,-0.0052,0.9971,1.77,0.3662,23.9868,brightshaky
2075,0.0883,-0.0223,0.9967,-0.1831,-0.4883,-0.3052,brightshaky
2056,0.1229,0.0026,1.0018,-0.9155,-1.4648,-5.249,brightshaky
2059,0.0945,-0.0095,1.001,-0.4272,2.2583,-0.2441,brightshaky
2056,0.0952,-0.0096,1.0043,-0.3052,-0.1831,-0.2441,brightshaky
2076,0.1426,-0.0308,1.0116,1.5259,-1.6479,15.7471,brightshaky
2050,0.0597,0.0072,1.0024,-1.5259,10.498,-6.1646,brightshaky
2065,0.0912,-0.0092,1.0061,-0.1221,-2.0752,-0.1831,brightshaky
2060,0.0786,0.02,1.0233,-0.9155,8.1787,-2.5635,brightshaky
2032,0.0923,-0.0433,0.995,-2.1362,5.8594,-26.5503,brightshaky
2056,0.0957,-0.1398,0.9852,6.4697,1.709,67.3828,brightshaky
2054,0.0875,-0.0034,1.0155,-0.2441,4.1504,-1.0986,brightshaky
2041,0.0964,-0.0028,1.0126,-0.061,-3.9673,2.0752,brightshaky
2056,0.0891,-0.0083,1.0066,-0.2441,0.7324,-0.7324,brightshaky
2055,0.0992,-0.0209,0.9893,-0.5493,-0.9766,-1.5259,brightshaky
2060,0.0907,-0.0089,1.0035,-0.3052,-0.3052,-0.1831,brightshaky
2053,0.0936,-0.0094,1.002,-0.2441,1.2817,-0.1831,brightshaky
2063,0.1101,-0.0051,1.0023,2.3193,7.2021,24.7803,brightshaky
